codtipovia,codvia,codviacatastro,nomoficial,traducnooficial
C/,131151,0,E.P. PE. DOCTOR ALVARO LOPEZ,null
C/,151142,0,E.P. PA. IGNACIO ZULOAGA,null
C/,151145,0,E.P. PE. MAYOR DE NAZARET,null
C/,151146,0,E.P. E. PE.IGNACIO ZULOAGA,null
CAMI,191137,0,E.P. PA. TRAVESIA DE PINEDO AL MAR,null
C/,191139,0,LIMITE SUR PINEDO,null
C/,191140,0,TRAVESIA DEL MERCADO,null
C/,202144,0,E.P. PE. LOS PINOS,null
C/,222225,0,E.P.JUNTO POETAS ANONIMOS,null
C/,232149,0,LAS MONJAS,null
C/,232150,0,L ALQUERIA CREMAS,null
C/,232154,0,E.P. PA. RIO NERVION,null
C/,232156,0,E.P. PA. MOTILLA DEL PALANCAR,null
C/,232158,0,E.P. PA. AGUSTIN LARA,null
C/,232160,0,E.P. PA. ALFAHUIR,null
C/,242106,0,EN PROYECTO PROL. GENERAL LLORENS,null
C/,242108,0,EN PROYECTO PERP. PINTOR MATARANA,null
C/,242110,0,EN PROYECTO PERP.CASTELLONET,null
C/,242111,0,SIN NOMBRE J.CERDA,null
C/,242414,0,CIRCUNVALACION,null
C/,242418,0,BENIFERRI,null
C/,242473,0,EN PRO. PA. SIERRA MARTES,null
C/,242477,0,EN PROY.PARAL.BENICADELL,null
C/,242479,0,EN PROYECTO PE. A GARBI,null
C/,242481,0,EN PRO. PA. FORNOLES,null
C/,40020,1149,JUAN DE MENA,JUAN DE MENA
C/,40050,1150,JOAN MERCADER,JUAN MERCADER
C/,40350,1156,JULIO ROMERO MOCHOL�,JULIO ROMERO MOCHOLI
C/,40440,2563,JUNTA DE MURS E VALLS,JUNTA DE MURS I VALLS
C/,40590,1163,CARRASQUETA,CARRASQUETA
C/,39870,1143,DOCTOR MARCOS SOPENA,DOCTOR MARCOS SOPENA
C/,39930,1146,JUAN JOS� SISTER,JUAN JOSE SISTER
C/,81235,3219,TENOR LAURI VOLPI,TENOR LAURI VOLPI
C/,81241,3128,VALDELINARES,VALDELINARES
C/,81242,3167,ALFONS VERDEGUER,ALFONS VERDEGUER
C/,81245,3114,JOS� DUR�N MART�NEZ,JOSE DURAN MARTINEZ
C/,81250,3196,ALQUERIA CREMADA,ALQUERIA CREMA
C/,81278,3162,ESCULTOR GARCIA MAS,ESCULTOR GARCIA MAS
C/,81289,3181,DOCTOR CALATAYUD BAY�,DOCTOR CALATAYUD BAYA
C/,81294,3212,PINTOR MANOLO GIL,PINTOR MANOLO GIL
C/,81229,0,EP SAN CLEMENTE 10,null
C/,81233,3116,ESCULTOR ALFONS GABINO,ESCULTOR ALFONSO GABINO
C/,81301,3289,CASBAH DEL SALER,CASBAH-SALER
C/,444431,0,NUMERO ONCE,null
C/,81314,3191,ENGINYER VICENTE PICH�,INGENIERO VICENTE PICHO
C/,81317,0,EP AZAGADOR DEL MORRO 9,null
C/,81328,3185,TEULAD�,TEULADI
PL,81344,3252,RAQUEL PAY� (PEDAGOGA),RAQUEL PAYA (PEDAGOGA)
C/,81352,0,EP REAL DE MADRID 102,null
C/,81357,0,EP HELLIN 42,null
PL,81358,3293,URBANISTA ANTONINO SANCHO,URBANISTA ANTONINO SANCHO
C/,81359,0,EP MALILLA 131,null
C/,81368,0,EP DR VTE ZARAGOZA 103,null
C/,81369,0,EP SENENT IBA�EZ 53,null
C/,81370,0,EP SENENT IBA�EZ,null
CAMI,81373,3265,ALBEREDA DE LES BARQUES,null
C/,81376,3524,EL PAROT,PAROT
C/,81378,0,EP FCO MOROTE GREUS,null
C/,81379,0,EP JOSE SOTO MICO 45,null
C/,81382,0,EP SAN CLEMENTE,null
C/,80960,2860,SALVADOR CERVER�,SALVADOR CERVERO
C/,81010,2848,MARIANO DE CAVIA,MARIANO DE CAVIA
C/,81105,2863,MAR�A CAMBRILS SENDRA (ESCRIPTORA),MAR�A CAMBRILS SENDRA (ESCRITORA)
C/,80660,2846,MESTRE MIGUEL GAL�N,MAESTRO MIGUEL GALAN
C/,80690,2676,MESTRE ESTEBAN CATAL�,MAESTRO ESTEBAN CATALA
AV,80950,2677,MESTRE RODRIGO (M�SIC),MAESTRO RODRIGO (MUSICO)
PL,81131,2878,ALCALDE JOSE MANGLANO,null
PL,81133,2917,TOSSAL DEL REI,TOSSAL DEL REI
C/,81147,2900,MARE DE D�U DEL LLED�,VIRGEN DE LIDON
C/,81170,3200,MANUEL IRANZO,MANUEL IRANZO
C/,81180,3085,POETA ANTONINO CHOCOMELI,POETA ANTONINO CHOCOMELI
C/,81189,3074,GLORIOSOS,GLORIOSOS
CV,81197,316,BENIMACLET,BENIMACLET
C/,81202,3081,PUERTO LUMBRERAS,PUERTO LUMBRERAS
C/,81220,3275,VICENT TOM�S I MART�,VICENT TOMAS I MARTI
C/,81226,3087,MARE ALBERTA GIM�NEZ,MADRE ALBERTA GIMENEZ
PL,81228,0,EP SAN CLEMENTE 16,null
C/,72780,2554,TIM�,TIMON
C/,72960,2098,TOM�S GISBERT,TOMAS GISBERT
ENTD,72990,2100,TOM�S SALVO,TOMAS SALVO
C/,73140,2606,TORPEDINER,TORPEDERO
CAMI,73380,2112,TORRETA,TORRETA
C/,73800,2607,TRANSATL�NTIC,TRASATLANTICO
ENTD,74010,2129,TRILLADORA DE CAGUETES,TRILLADORA DE CAGUETES
PL,72750,2093,TENDA,TIENDA
C/,74700,2150,VALLDAURA,VALLDAURA
CAMI,74820,2154,VAQUES,VAQUES
C/,74940,2565,VELERO,null
C/,75090,2163,VENTURA BURGOS,null
C/,75510,2176,VICARI JOS� RAM�N,VICARIO JOSE RAMON
C/,77190,2225,MARE DE D�U DEL SUFRAGI,VIRGEN DEL SUFRAGIO
CTRA,77640,2239,VOLANT,VOLANTE
C/,80300,2850,IL�LUSTRACI�,ILUSTRACI�N
C/,66930,1917,SALVADOR LLUCH,SALVADOR LLUCH
C/,67050,2694,SALVADOR RUBIO,SALVADOR RUBIO
ENTD,67140,1923,SALVASI,SALVASIO
C/,67170,1924,SAMANIEGO,SAMANIEGO
PL,67620,1939,SANT FELIP NERI,SAN FELIPE NERI
AV,68100,2417,SANT JOSEP ARTES�,SAN JOSE ARTESANO
C/,68730,0,SAN MIGUEL DE SOTERNES,null
C/,69120,1990,SANT RAFAEL,SAN RAFAEL
PTGE,69480,1945,SANG,SANGRE
C/,69600,1995,SANTA AM�LIA,SANTA AMALIA
C/,69960,2005,SANTA JULIA,null
C/,70320,2017,SANTIAGO LOPE,SANTIAGO LOPE
SENDA,70710,2031,SECANET,SECANET
C/,71340,2053,SIM�N ORTIZ,SIMON ORTIZ
CRO,71440,0,SIN NOMBRE JT. MANUEL ANDRES,null
C/,71550,2057,SOL,SOL
C/,72180,2076,TALEGA,null
C/,72330,2081,TARRA,TARRA
SENDA,72510,2085,TENDETA,TENDETA
C/,72600,2088,TE�IDORES,null
PL,61600,2932,PROFESSOR TAMARIT OLMOS,PROFESOR TAMARIT OLMOS
C/,61650,1768,PROVID�NCIA,PROVIDENCIA
C/,61770,1772,POBLA DE VALLBONA,POBLA DE VALLBONA
C/,61800,1773,PONT DE DRASSANES,PUENTE DE ASTILLEROS
CTRA,62160,1783,RAC�,RACO
ENTD,62220,1785,RAFAEL EL BATANO,RAFAEL EL BATANO
C/,62370,1787,RAFELBU�OL,null
C/,62520,1792,RAMBLETA,RAMBLETA
C/,61440,1763,MAJOR DEL CASTELLAR,PRINCIPAL
BARRI,61470,1764,PRINCIPE DE ASTURIAS,null
CAMI,62550,1792,RAMBLETA,RAMBLETA
C/,62790,2548,RAMON JUAN,RAMON JUAN
ENTD,63210,1813,REJOLAR,RECHOLAR
C/,63480,2602,REMOLCADOR,REMOLCADOR
C/,64200,2282,RIBELLES COM�N,RIBELLES COMIN
ENTD,64350,1847,RIDAURES,RIDAURES
C/,64440,1850,RAC� DE L'ERMITA,RINCON DE LA ERMITA
C/,64500,1851,RIU ARCOS,RIO ARCOS
C/,64680,2550,RIU SEC,RIO SECO
PTGE,64800,1854,RIPALDA,RIPALDA
ENTD,65310,1868,ROIG DE LAGARDA,ROIG DE LAGARDA
ENTD,65520,1875,ROMUALD,ROMUALDO
C/,66000,1888,RUIZ,RUIZ
ENTD,66120,1892,SABATER,SABATER
CTRA,66150,1893,SABATER (CTRA),CTRA SABATER
C/,56460,1621,PERE ANDREU,PEDRO ANDREU
C/,56880,1634,PENYAGOLOSA,PE�AGOLOSA
C/,57150,1642,PERE BALAGUER,null
C/,57210,0,PERE COMPTE,null
CN,56070,1608,PATERNA,PATERNA
C/,56220,1613,PAU,null
C/,57720,2538,PERTUSA,null
C/,57900,2541,PIANISTA EMPAR ITURBI,PIANISTA AMPARO ITURBI
CV,58020,1665,PICASSENT,PICASENT
PL,58350,1676,PINTOR ANGLADA,PINTOR ANGLADA
C/,59160,1698,PINTOR SALA,null
C/,59370,1705,PINTOR ZARI�ENA,PINTOR ZARI�ENA
ENTD,59580,1713,PLANELLS,null
C/,59940,1723,POETA ALBEROLA,POETA ALBEROLA
ENTD,60750,1741,POMERO,POMERO
C/,61080,1748,PORTALET,PORTALET
C/,50970,2700,VICENT GALLART (ARXIPREST),"DON VICENTE GALLART ""ARCIPRESTE"""
PL,51540,2532,M�SIC CUESTA,MUSICO CUESTA
C/,51900,1486,CONSTAN�A MIQUEL,NA CONSTANZA MIQUEL
C/,52230,1494,NAVARDERA,NAVARDERA
C/,50820,2595,MOSQUEROLA,MOSQUERUELA
C/,50850,1462,MOTILLA DE PALANCAR,MOTILLA DEL PALANCAR
C/,50920,1465,MUELA,MOLA
PL,52380,1499,NAVARROS,NAVARROS
C/,52690,0,ZZ BAJA: NI�O JESUS,null
PL,53010,1518,NOVA DE L'ESGL�SIA,NUEVA DE LA IGLESIA
C/,53400,1533,OLBA,OLBA
SENDA,53460,0,ZZ BAJA: OLIVERETA,null
ENTD,53850,1543,VORA DEL PANT�,ORILLA PANTANO
TRAV,54000,1546,TRV ORRIOLS,null
C/,54360,1560,PARE COSME DE TORRES,PADRE COSME DE TORRES
C/,55170,1582,PAIPORTA,null
C/,55320,1587,PALAU,null
ENTD,55470,1592,PALMERO,PALMERO
ENTD,55650,1597,PARIDORA,PARIDERA
C/,45870,2529,MAR� SIRERA,MARINO SIRERA
C/,45900,1315,MARIOLA,MARIOLA
C/,46200,1325,MARQU�S DE LACONI,MARQUES DE LACONI
GRUP,46350,1330,MARQU�S DE VALLTERRA,MARQUES DE VALLTERRA
C/,46710,2398,MART�NEZ FERRANDO,MARTINEZ FERRANDO
CTRA,46770,3349,RIU,RIO
C/,45390,1302,MARIA AUXILIADORA,MARIA AUXILIADORA
C/,45600,1307,MARI� BRULL,MARIANO BRULL
C/,45630,1308,MARI� CUBER,MARIANO CUBER
ENTD,47190,1354,MATADOR D'EN CORTS,MATADERO EN CORTS
C/,47550,1365,MIGDIA,MEDIODIA
C/,48180,1385,MISSER TARAZONA,MICER TARAZONA
C/,48330,1388,DEL MILLARS,MIJARES
C/,48720,2433,MIRA-SOL,MIRASOL
ENTD,49110,0,ZZ BAJA: MOLINERO,null
CAMI,49320,1414,MOL� DE LES FONTS,MOLINO DE LAS FUENTES
CAMI,49380,1416,MOLI NOU MOLES,null
C/,49440,1421,MOMPARLER,null
CAMI,49500,1423,MONTCADA,MONCADA
C/,49680,1428,MONGO,null
C/,40110,2395,JOAN PI�OL,JUAN PI�OL
C/,40290,1154,JULI�N PE�A,JULIAN PE�A
C/,40320,1155,JULIO ANTONIO,JULIO ANTONIO
C/,40380,1157,JUMILLA,JUMILLA
C/,40530,1161,"PASTOR FUSTER ""BIBLIOGRAFO""",null
C/,40800,0,PLANA ,null
C/,41190,1179,LLAVADOR,LAVADERO
C/,41580,2303,LLIBRER ESCLAP�S,LIBRERO ESCLAPES
C/,42150,1206,LORENZO SAIZ,LORENZO SAIZ
C/,42570,1218,LLUMS,LUCES
C/,42690,2409,LUGRE,LUGRE
C/,42960,1228,LUIS JORDANA DE POZAS,null
C/,43350,1240,PLA DE SANT BERNAT,LLANO SAN BERNARDO
ENTD,43440,1243,LLIBER�S,LLIBEROS
C/,43830,1256,MESTRE ALBERTO LUZ,MAESTRO ALBERTO LUZ
C/,44040,1262,MESTRE CRIST�BAL LE�N,MAESTRO CRISTOBAL LEON
CAMI,44310,1271,MAUELLA,MAHUELLA
AV,44960,3067,MANUEL SOTO (ENGINYER),MANUEL SOTO (INGENIERO)
ENTD,45270,0,MARDA,null
C/,34590,1001,GRAVADOR SELMA,GRABADOR SELMA
CH,34740,1005,GRAU,GRAO
C/,34770,1007,GREGORI GEA,GREGORIO GEA
C/,34870,2658,GUADALETE,GUADALETE
C/,34890,1011,GUADASEQUIES,null
C/,34920,1012,GUADASUAR,GUADASSUAR  (1995)
C/,35160,1017,GUILLEM DEL REI,GUILLEN DEL REY
C/,35940,1035,HISTORIADOR CHAB�S,HISTORIADOR CHABAS
PL,36300,1045,FORN DE SANT NICOLAU,HORNO DE SAN NICOLAS
C/,36480,1048,HORT D'EN VICENT,HUERTO DE DON VICENTE
C/,36900,1060,ESGL�SIA DE VERA,IGLESIA DE VERA
C/,37380,1070,ISIDRE BALLESTER,ISIDRO BALLESTER
C/,37470,2611,ILLES CAN�RIES,ISLAS CANARIAS
C/,38730,1108,JOSEP BALAGUER,JOSE BALAGUER
C/,38790,1110,JOSEP BARBER� FALC�,JOSE BARBERA FALCO
PL,39030,1116,JOS� MAR�A TRENCO,JOSE MARIA TRENCO
C/,39090,0,JOSE OLMOS,null
C/,39510,1132,JUAN BAUTISTA PASTOR,JUAN BAUTISTA PASTOR
C/,29280,2341,EXPLORADOR ANDR�S,EXPLORADOR ANDRES
ENTD,29340,853,F�BRICA DE HARO I OLMOS,FABRICA DE HARO Y OLMOS
SENDA,29490,856,FANALERO,FANALER (1995)
C/,29550,858,FAURA,FAURA
PL,29580,860,FRANCISCO JAVIER GOERLICH LLE� (ARQUITECTE),FRANCISCO JAVIER GOERLICH LLE� (ARQUITECTO)
C/,29730,864,FELIPE PE�ARROCHA,null
C/,29970,872,FERN�NDEZ DE MESA,FERNANDEZ DE MESA
ENTD,30180,878,FILERO,FILERO
C/,30630,893,FONT ROJA,null
ENTD,30930,901,FRANC�S,FRANCES
C/,31020,2453,FRANCESC BARRACHINA ESTEBAN,FRANCISCO BARRACHINA ESTEBAN
C/,31350,2693,ANDREU ALFARO (ESCULTOR),ANDREU ALFARO (ESCULTOR)
C/,31620,919,FRAY PEDRO PONCE DE LE�N,FRAY PEDRO PONCE DE LEON
CRA,31920,930,FONTETA DE SANT LLU�S,FUENTE DE SAN LUIS
C/,32310,2510,GALEON,null
C/,32490,944,GARC�S,GARCES
C/,33330,0,GENERAL PANDO,null
C/,33570,2513,GERANIS,GERANIOS
SENDA,33990,3430,GODELLA,GODELLA
ENTD,34110,990,GOLA DEL PERELLONET,GOLA DEL PERELLONET
CAMI,34350,994,GOS GUSS,GOS GUSS
C/,23430,2463,GREMIS,null
C/,23760,702,DON�S ROSELL�,DIONISIO ROSELLO
PL,23790,3255,TRIBUNAL DE LES AIG�ES,TRIBUNAL DE LES AIGUES
PTGE,23870,2615,DOCTOR BARTUAL MORET,DOCTOR BARTUAL MORET
C/,24120,710,DOCTOR ENRIC L�PEZ,DOCTOR ENRIQUE LOPEZ
C/,24600,2397,DOCTOR MONTORO,DOCTOR MONTORO
C/,25740,0,DO�A MARIA CARBONELL,null
C/,26430,772,CANEY,CANEY
C/,26550,777,POBLET,POBLET
C/,27210,799,LLOP,EN LLOP
C/,27600,801,�NOVA,ENOVA
C/,27810,0,EPIFANIO LOZANO,null
C/,28380,828,ESCOLES DEL TEMPLE,ESCUELAS DEL TEMPLE
ENTD,29040,2340,ESTIGUET,ESTIGUET
C/,18360,549,MANYANS,CERRAJEROS
PL,18420,552,CECS,CIEGOS
C/,18450,553,CIENFUEGOS,CIENFUEGOS
C/,18780,2493,CLARACHET,CLARACHET
C/,18840,2469,CLAVELLS,CLAVELES
C/,18990,567,COBERT�S DELS BRODADORS,COBERTIZO BORDADORES
C/,19800,2261,CONCHITA PIQUER,CONCHITA PIQUER
ENTD,20340,609,CONOLES,CONOLES
C/,20490,614,CONVENT,CONVENTO
C/,20790,2929,CORBETA,CORBETA
C/,20970,633,CORTES DE PALLAS,null
ENTD,21150,3436,COSTABAIXA,COSTABAIXA
C/,21280,0,EP FRANCISCO MONLEON,null
C/,21510,649,CRIST DE LA LLUM,CRISTO DE LA LUZ
C/,21790,0,CRUZ MISLATA,null
ENTD,21960,662,CUB�,CUBANO
C/,22110,666,COVA DE CAMALES,CUEVAS CAMALES
C/,22200,0,CUEVAS REGINA,null
C/,22320,673,MOSS�N MONZ�,CURA MONZO
CTRA,22440,677,CHANDI,XAND�
C/,22860,688,DAIMUZ,null
C/,23310,2465,ESCUDILLERS,null
C/,10920,329,BERNAT G�MEZ IGUAL,BERNARDO GOMEZ IGUAL
C/,10980,332,BERNAT I BALDOV�,BERNAT Y BALDOVI
C/,11040,334,BERNI I CATAL�,BERNI Y CATALA
ENTD,11190,338,BISARRON,null
C/,11460,3422,BLOC DELS PORTUARIS,BLOQUE PORTUARIOS
PL,11520,346,BOTXA,BOCHA
ENTD,12810,384,CABOTA,CABOTA
ENTD,13110,394,CALAINO,null
CTRA,13560,406,CAMIL,CAMILO
C/,13740,412,CAMPILLO DE ALTOBUEY,CAMPILLO DE ALTOBUEY
C/,13861,416,CAMPOS (PROLONGACION),null
C/,13980,420,CANALETA,null
PL,14100,422,CANONGE,CANONIGO
ENTD,15600,464,CASA DE BAJOCA,CASA BAJOCA
ENTD,15780,470,CASA DE LA CLEM�NCIA,CASA CLEMENCIA
ENTD,16200,484,CASA DELS MINGUETS,CASA ELS MINGUETS
ENTD,16650,497,CASA DEL SERENO,CASA EL SERENO
C/,16920,508,CASAS CONTELL,CASES DE CONTELL CARRER DE LES
C/,17040,512,CASAS DEL REAL,null
CAMI,17070,514,CASES DE LA TENDETA,CASAS TENDETA
PL,25110,2671,DOCTOR TORRENS,DOCTOR TORRENS
C/,14880,444,CARI�O,null
C/,14970,446,CARLES CERVERA,CARLOS CERVERA
C/,15060,2423,CARMELO RODA,CARMELO RODA
SENDA,15150,450,CARMONA,CARMONA
C/,15210,453,CARNISSERS,CARNICEROS
PL,24900,732,DOCTOR SEGUER,DOCTOR SEGUER
C/,25410,745,DOME�O,null
C/,37950,1085,JAUME VILLANUEVA,JAIME VILLANUEVA
C/,38250,1094,JES�S,JESUS
C/,76380,2198,VILANUEVA I GASCONS,VILLANUEVA Y GASCONS
CAMI,76530,3026,VINALESA (CAM�),VINALESA
PL,81254,3131,PINTOR DUB�N,PINTOR DUBON
C/,81270,3203,MELIANA,MELIANA
C/,81271,3187,ESCULTOR MORA CIRUJEDA,ESCULTOR MORA CIRUJEDA
C/,570,2273,ACTOR MAURI,ACTOR MAURI
CTRA,1110,30,ALBA,ALBA
C/,10080,0,BENIARJO,null
C/,10410,0,BENIFAZA,null
C/,10680,322,BENIPARRELL,null
CAMI,450,13,S�QUIA FABIANA,ACEQUIA FABIANA
C/,870,23,AITANA,AITANA
AV,900,3140,BLASCO IB��EZ,BLASCO IBA�EZ
C/,150,2477,ABEJUELA,ABEJUELA
PL,300,3108,DOCTOR LLOREN� DE LA FLOR,DOCTOR LORENZO DE LA FLOR
SENDA,1530,44,ALBORS,ALBORS
C/,1830,52,DOCTOR EMILI RAMON LLIN,DOCTOR EMILI RAMON LLIN
C/,2040,58,ALEGRIA,ALEGRIA
C/,2280,63,ALFAMBRA,ALFAMBRA
PL,2730,75,ALMANSA,ALMANSA
CAMI,3150,89,ALQUERIA DE ACNA,null
CAMI,3300,94,ALQUERIA DE L'�NIMA,ALQUERIA DE L'ANIMA
CAMI,3570,105,ALQUERIA DE CARDONA,ALQUERIA DE CARDONA
C/,3720,110,ALQUERIA ENRIQUE ORTIZ,null
CAMI,3840,113,ALQUERIA GASPARO,ALQUERIA GASPARO
ENTD,4080,118,ALQUERIA NOVA,ALQUERIA NOVA
ENTD,4200,121,ALQUERIA DEL PASIEGO,ALQUERIA DEL PASSIEGO
CAMI,4500,133,ALQUERIA DEL SECH,null
CAMI,4740,144,ALQUERIES DE SANTA ANNA,ALQUERIAS DE SANTA ANA
C/,5190,158,AMOROSAS,null
C/,5550,167,�NGEL GUIMER�,ANGEL GUIMERA
C/,5670,170,ESTRET DE L'ALMOD�,ANGOSTA DEL ALMUDIN
PL,5880,2478,ANTONI CORTIS,ANTONIO CORTIS
C/,6630,2321,ARQUITECTE GASC�,ARQUITECTO GASCO
C/,7050,211,ARTESANOS,ARTESANS (1995)
C/,7260,219,ARQUEBISBE MELO,ARZOBISPO MELO
C/,7500,225,DE LES DRASSANES,ATARAZANAS
C/,8160,245,DAVALLADA SANT MIQUEL,BAJADA DE SAN MIGUEL
C/,8370,0,BALSAS,null
C/,9330,278,BEATA AGN�S,BEATA INES
ENTD,11760,353,BOQUERA,BOQUERA
CAMI,12270,367,BROSQUIL,BROSQUIL
CAMI,14580,434,CARAGOLERO,CARAGOLERO
C/,40650,2827,GU�RDIA CIVIL,GUARDIA CIVIL
C/,40690,2630,MACARENA,MACARENA
CV,40860,1173,PUNTA,PUNTA
C/,40920,1175,REGI�,REGION
C/,40950,1177,SENYERA,SE�ERA
C/,41010,1180,IESSA,YESA
C/,41130,1166,LANDERER,LANDERER
C/,41310,1185,LLE� XIII,LEON XIII
C/,41490,1188,PENYETES,PENYETES
C/,41400,1186,LEPANT,LEPANTO
C/,41520,1189,LLEVANT,LEVANTE
C/,41640,1192,LINARES,LINARES
C/,41700,1194,LLANTERNA,LINTERNA
C/,41820,1198,LLIRI,LIRIO
C/,41850,1199,LITERAT AZOR�N,LITERATO AZORIN
C/,41880,1200,LITERAT GABRIEL MIR�,LITERATO GABRIEL MIRO
C/,42000,2292,LOPE DE RUEDA,LOPE DE RUEDA
C/,42270,1211,CENTELLES,CENTELLES
AV,42340,2632,TARONGERS,NARANJOS
AV,42390,1213,PINARS,PINARES
C/,42450,1215,SANTS,SANTOS
C/,42480,2297,VENERABLES,VENERABLES
C/,42540,1209,LLOSA DEL BISBE,LOSA DEL OBISPO
C/,42720,1222,LUIS ALCA�IZ,null
C/,42780,1224,LUIS CAMPOS,LUIS CAMPOS
C/,42840,2425,LUIS CRUMIERE,LUIS CRUMIERE
C/,42930,1227,LUIS JANINI,LUIS JANINI
C/,42990,1229,LLU�S LAMARCA,LUIS LAMARCA
C/,43020,1230,LUIS MILAN,LUIS MILAN
C/,43080,1232,LUIS PEIXO,LUIS PEIXO
C/,43110,1233,LLU�S SANT�NGEL,LUIS SANTANGEL
C/,43140,1234,LLU�S VIVES,LUIS VIVES
BARRI,43200,1236,LLUM,LUZ
C/,43260,1237,LLADR� I MALL�,LLADRO Y MALLI
ENTD,43530,1246,LLOQUERO,LLOQUERO
CTRA,43560,1247,LLORA,LLORA
C/,43650,1251,MARE SACRAMENT,MADRE SACRAMENTO
C/,43710,1253,MADRINA,MADRINA
C/,43770,1380,MESTRE RACIONAL,MESTRE RACIONAL
C/,43800,1255,MESTRE AGUILAR,MAESTRO AGUILAR
C/,43920,1258,MESTRE BELLVER,MAESTRO BELLVER
C/,43950,1259,MESTRE VENTURA PASCUAL,MAESTRO BUENAVENTURA PASCUAL
C/,43980,1260,MESTRE CABALLERO,MAESTRO CABALLERO
C/,44070,1263,MESTRE GOZALBO,MAESTRO GOZALBO
C/,44130,1265,MESTRE JOSEP SERRANO,MAESTRO JOSE SERRANO
C/,44220,1268,MESTRE SOSA,MAESTRO SOSA
C/,44400,1274,MALDONADO,MALDONADO
CTRA,44460,1276,MALILLA,MALILLA
CV,44490,1277,MALILLA,MALILLA
C/,44580,1281,MALLORQUINS,MALLORQUINS
CTRA,44610,1282,MANDINGORRA,MANDINGORRA
PL,44640,1283,MANISES,MANISES
C/,44760,1288,MANUEL ARNAU,MANUEL ARNAU
PL,44880,2370,MANUEL GRANERO,MANUEL GRANERO
C/,44910,1291,MANUEL MART�,MANUEL MARTI
C/,44940,1292,MANUEL SIM�,MANUEL SIMO
C/,45060,1294,MANY�,MA�A
C/,45090,1295,MAR,MAR
C/,45120,2590,MARCEL�L� GINER,MARCELINO GINER
C/,45210,1298,MARXALENES,MARCHALENES
C/,45810,3065,MAR� BLAS DE LEZO,MARINO BLAS DE LEZO
C/,45930,1316,MARISCAL FOCH,MARISCAL FOCH
C/,46020,1319,MARQU�S DE CAMPO,MARQUES DE CAMPO
C/,46050,1320,MARQU�S DE CARO,MARQUES DE CARO
C/,46230,1326,MARQUES DE MASCARELL,null
C/,46380,1331,MARQU�S DE CENETE,MARQUES DE ZENETE
C/,46410,2418,MARQUESA DE PATERNA DEL CAMPO,MARQUESA PATERNA DEL CAMPO
C/,46440,1332,MARSELLA,MARSELLA
C/,46470,1333,MART�,MARTI
C/,46590,1340,MART�N MENGOD,MARTIN MENGOD
C/,46680,1338,MART�NEZ CUBELLS,MARTINEZ CUBELLS
C/,46860,1349,MAS I BOHER,MAS Y BOHER
C/,47040,3022,MASCAR�,MASCARON
C/,47070,1351,MASCOTA,MASCOTA
C/,47130,1353,MASQUEFA,MASQUEFA
C/,47250,1356,MATEO ESCRIV�,MATEO ESCRIVA
C/,47280,1357,MATEU I SAN�,MATHEU Y SANZ
C/,47310,1358,MATIES PERELL�,MATIAS PERELLO
C/,47340,1359,MAURO GUILL�N,MAURO GUILLEN
C/,47400,1362,MAXIMILI� THOUS,MAXIMILIANO THOUS
C/,47490,1363,METGE ESTEVE,MEDICO ESTEVE
C/,47670,1369,M�NDEZ N��EZ,MENDEZ NU�EZ
C/,47680,2631,MENDIZ�BAL,MENDIZABAL
C/,47700,1370,MENDOZA,MENDOZA
PL,47820,1373,MERCAT,MERCADO
C/,48000,1377,HOSTAL DE MORELLA,MESON DE MORELLA
C/,48060,1379,MESTRE MAR�AL,MESTRE MARCAL
C/,48090,1381,MICALET,null
C/,48240,1386,MIQUEL AGRA�T,MIGUEL AGRAIT
C/,48300,2593,MIQUEL SERVET,MIGUEL SERVET
C/,48390,1390,MIRACULOSA,MILAGROSA
C/,48480,1392,MINGLANILLA,null
C/,48600,1395,MINYANA,MI�ANA
PL,48630,1396,MIRACLE DEL MOCADORET,null
C/,48780,1399,MISTRAL,MISTRAL
C/,48840,1400,MITJAGALTA,MITJAGALTA
CAMI,48930,1403,MOL� DE BONJOCH,MOLI DE BONJOCH
C/,48990,1404,MOLINA,MOLINA
ENTD,49200,1411,MOL� DELS CANYARS,MOLI DELS CANYARS
CAMI,49230,1412,MOL� DE XIRIVELLA,MOLINO DE CHIRIVELLA
C/,49350,1415,MOL� DE LA MARQUESA,MOLINO DE LA MARQUESA
C/,27030,790,BOU,EN BOU
ENTD,49410,1419,MOLINO DE SERRA,MOLI DE SERRA
C/,49590,1426,MOND�BER,MONTDUVER
PL,49710,2530,MONISTROL,MONISTROL
ENTD,49860,1433,MONRABAL,MONRABAL
C/,50040,1438,MONTA�ANA,MONTA�ANA
CAMI,50070,1439,MONTANYARS,MONTA�ARES
C/,50100,1441,MONT CARMEL,MONTE CARMELO
C/,50160,1443,MONTESA,MONTESA
C/,50250,1448,M�RA DE RUBIOLS,MORA DE RUBIELOS
CAMI,50460,1453,MORERAS,MORERES
C/,50490,1454,MORET,MORET
C/,50580,1456,MOSS�N FEBRER,MOSSEN FEBRER
C/,50640,1458,MOSSEN FENOLLAR,MOSSEN FENOLLAR
C/,51090,1470,M��IZ Y HERN�NDEZ DE ALBA,MU�IZ Y H. DE ALBA
C/,51150,1472,MU�OZ SECA,MU�OZ SECA
C/,51270,1475,MUR DE SANTA ANNA,MURO DE SANTA ANA
C/,51360,1478,MUSEROS,MUSEROS
C/,51420,2358,M�SIC AYLL�N,MUSICO AYLLON
